旅宿名稱	來源	Google地圖評分
路徒PLUS行旅-站前館 	臺北市一般旅館名冊	
米窩飯店-西門	臺北市一般旅館名冊	
藝築文旅台北站前館	臺北市一般旅館名冊	
格拉斯麗台北飯店	臺北市一般旅館名冊	
見潭璞旅	臺北市一般旅館名冊	
時尚居商旅	臺北市一般旅館名冊	
雅齊旅館	臺北市一般旅館名冊	
城市商旅德立莊二館	臺北市一般旅館名冊	
日野苑	臺北市一般旅館名冊	
寒居酒店 Humble Boutique Hotel	臺北市一般旅館名冊	
星西門行旅	臺北市一般旅館名冊	
陸號行旅萬年館	臺北市一般旅館名冊	
北投會館-北捷行旅	臺北市一般旅館名冊	
喜園旅館	臺北市一般旅館名冊	
安捷國際公寓酒店	臺北市一般旅館名冊	
城市商旅北門二館	臺北市一般旅館名冊	
西門希爾商旅	臺北市一般旅館名冊	
米窩飯店-站前	臺北市一般旅館名冊	
雀客快捷台北永康	臺北市一般旅館名冊	
希爾商旅台北館	臺北市一般旅館名冊	
陸號行旅中華館	臺北市一般旅館名冊	
苓旅旅館萬年館	臺北市一般旅館名冊	
葛瑞絲商旅敦北館 	臺北市一般旅館名冊	
珂曼旅館	臺北市一般旅館名冊	
台北棧	臺北市一般旅館名冊	
天母之星商務會館	臺北市一般旅館名冊	
慶爾喜旅館西門捷運館	臺北市一般旅館名冊	
陸號行旅西門館	臺北市一般旅館名冊	
全界精品旅館	臺北市一般旅館名冊	
摩莎曼拉商務旅館-西門館	臺北市一般旅館名冊	
成都壹壹壹商旅	臺北市一般旅館名冊	
優美飯店	臺北市一般旅館名冊	
台灣西鐵國際旅館	臺北市一般旅館名冊	
西門雲町旅店	臺北市一般旅館名冊	
福華國際文教會館	臺北市一般旅館名冊	
聖雄商旅	臺北市一般旅館名冊	
柯達大飯店台北南京	臺北市一般旅館名冊	
晶城青年旅館	臺北市一般旅館名冊	
相鐵飯店台北西門	臺北市一般旅館名冊	
客憩旅宿	臺北市一般旅館名冊	
日光樂居	臺北市一般旅館名冊	
瀚寓夏天	臺北市一般旅館名冊	
福泰桔子商務旅館西門漢中店	臺北市一般旅館名冊	
美好境界旅店	臺北市一般旅館名冊	
歐法行旅	臺北市一般旅館名冊	
豐宿創新壹旅	臺北市一般旅館名冊	
藝築文旅昆明館	臺北市一般旅館名冊	
日初青旅	臺北市一般旅館名冊	
金通商旅	臺北市一般旅館名冊	
美好行旅	臺北市一般旅館名冊	
台北大安伊普索酒店	臺北市一般旅館名冊	
梧邸酒店台北杭州	臺北市一般旅館名冊	
頭等艙飯店西門館	臺北市一般旅館名冊	
日光樂居成都館	臺北市一般旅館名冊	
大光瀛商旅	臺北市一般旅館名冊	
享住青旅	臺北市一般旅館名冊	
北投晶泉丰旅	臺北市一般旅館名冊	
貓尾口袋（西門館）	臺北市一般旅館名冊	
天雲旅棧台北開封	臺北市一般旅館名冊	
捷絲旅臺大尊賢館	臺北市一般旅館名冊	
臺北嘉佩樂酒店 Capella Taipei	臺北市一般旅館名冊	
古奈堡精品旅館	臺北市一般旅館名冊	
美好行旅北車漢口館	臺北市一般旅館名冊	
太子文旅-修齊館	臺北市一般旅館名冊	
鉑泊客2館	臺北市一般旅館名冊	
雀客藏居台北內湖	臺北市一般旅館名冊	
在家行旅南西館	臺北市一般旅館名冊	
合洋背包客棧	臺北市一般旅館名冊	
茶色部屋行旅 站前館	臺北市一般旅館名冊	
晶棧行旅	臺北市一般旅館名冊	
?朗旅宿	臺北市一般旅館名冊	
漫步綠洲旅店	臺北市一般旅館名冊	
